100,100
belt 44 49 1,0 1,0 3
belt 45 49 1,0 1,0 3
belt 46 49 1,0 1,0 3
belt 47 49 1,0 1,0 3
belt 48 49 1,0 1,0 3
belt 49 49 1,0 1,0 3
belt 50 49 1,0 1,0 3
belt 51 49 1,0 1,0 3
belt 52 49 1,0 1,0 3
belt 53 49 1,0 0,1 3
belt 53 50 0,1 -1,0 3
belt 52 50 -1,0 -1,0 3
belt 51 50 -1,0 -1,0 3
belt 50 50 -1,0 -1,0 3
belt 49 50 -1,0 -1,0 3
belt 48 50 -1,0 -1,0 3
belt 47 50 -1,0 -1,0 3
belt 46 50 -1,0 -1,0 3
belt 45 50 -1,0 -1,0 3
belt 44 50 -1,0 -1,0 3
belt 43 50 -1,0 -1,0 3
belt 42 50 -1,0 0,1 3
belt 42 51 0,1 1,0 3
belt 43 51 1,0 1,0 3
belt 44 51 1,0 1,0 3
belt 45 51 1,0 1,0 3
belt 46 51 1,0 1,0 3
belt 47 51 1,0 1,0 3
belt 48 51 1,0 1,0 3
belt 49 51 1,0 1,0 3
belt 50 51 1,0 1,0 3
belt 51 51 1,0 1,0 3
belt 52 51 1,0 1,0 3
belt 53 51 1,0 1,0 3
belt 54 51 1,0 0,-1 3
belt 54 50 0,-1 0,-1 3
belt 54 49 0,-1 1,0 3
belt 55 49 1,0 0,1 3
belt 55 50 0,1 0,1 3
belt 55 51 0,1 1,0 3
belt 56 51 1,0 0,-1 3
belt 56 50 0,-1 0,-1 3
belt 56 49 0,-1 1,0 3
belt 57 49 1,0 0,1 3
belt 57 50 0,1 0,1 3
belt 57 51 0,1 0,1 3
belt 57 52 0,1 -1,0 3
belt 56 52 -1,0 -1,0 3
belt 55 52 -1,0 -1,0 3
belt 54 52 -1,0 -1,0 3
belt 53 52 -1,0 -1,0 3
belt 52 52 -1,0 -1,0 3
belt 51 52 -1,0 -1,0 3
belt 50 52 -1,0 -1,0 3
belt 49 52 -1,0 -1,0 3
belt 48 52 -1,0 -1,0 3
belt 47 52 -1,0 -1,0 3
belt 46 52 -1,0 -1,0 3
belt 45 52 -1,0 -1,0 3
belt 44 52 -1,0 -1,0 3
belt 43 52 -1,0 -1,0 3
belt 42 52 -1,0 0,1 3
belt 42 53 0,1 1,0 3
belt 43 53 1,0 1,0 3
belt 44 53 1,0 1,0 3
belt 45 53 1,0 1,0 3
belt 46 53 1,0 1,0 3
belt 47 53 1,0 1,0 3
belt 48 53 1,0 1,0 3
belt 49 53 1,0 1,0 3
belt 50 53 1,0 1,0 3
belt 51 53 1,0 1,0 3
belt 52 53 1,0 1,0 3
belt 53 53 1,0 1,0 3
belt 54 53 1,0 1,0 3
belt 55 53 1,0 1,0 3
belt 56 53 1,0 1,0 3
belt 57 53 1,0 0,1 3
belt 57 54 0,1 -1,0 3
belt 56 54 -1,0 -1,0 3
belt 55 54 -1,0 -1,0 3
belt 54 54 -1,0 -1,0 3
belt 53 54 -1,0 -1,0 3
belt 52 54 -1,0 -1,0 3
belt 51 54 -1,0 -1,0 3
belt 50 54 -1,0 -1,0 3
belt 49 54 -1,0 -1,0 3
belt 48 54 -1,0 -1,0 3
belt 47 54 -1,0 -1,0 3
belt 46 54 -1,0 -1,0 3
belt 45 54 -1,0 -1,0 3
belt 44 54 -1,0 -1,0 3
belt 43 54 -1,0 -1,0 3
belt 42 54 -1,0 0,1 3
belt 42 55 0,1 1,0 3
belt 43 55 1,0 1,0 3
belt 44 55 1,0 1,0 3
belt 45 55 1,0 1,0 3
belt 46 55 1,0 1,0 3
belt 47 55 1,0 1,0 3
belt 48 55 1,0 1,0 3
belt 49 55 1,0 1,0 3
belt 50 55 1,0 1,0 3
belt 51 55 1,0 1,0 3
belt 52 55 1,0 1,0 3
belt 53 55 1,0 1,0 3
belt 54 55 1,0 1,0 3
belt 55 55 1,0 1,0 3
belt 56 55 1,0 1,0 3
belt 57 55 1,0 1,0 3
belt 58 55 1,0 0,-1 3
belt 58 54 0,-1 0,-1 3
belt 58 53 0,-1 0,-1 3
belt 58 52 0,-1 0,-1 3
belt 58 51 0,-1 0,-1 3
belt 58 50 0,-1 0,-1 3
belt 58 49 0,-1 0,-1 3
belt 58 48 0,-1 -1,0 3
belt 57 48 -1,0 -1,0 3
belt 56 48 -1,0 -1,0 3
belt 55 48 -1,0 -1,0 3
belt 54 48 -1,0 -1,0 3
belt 53 48 -1,0 -1,0 3
belt 52 48 -1,0 -1,0 3
belt 51 48 -1,0 -1,0 3
belt 50 48 -1,0 -1,0 3
belt 49 48 -1,0 -1,0 3
belt 48 48 -1,0 -1,0 3
belt 47 48 -1,0 -1,0 3
belt 46 48 -1,0 -1,0 3
belt 45 48 -1,0 -1,0 3
belt 44 48 -1,0 -1,0 3
belt 43 48 -1,0 -1,0 3
belt 42 48 -1,0 0,1 3
belt 42 49 0,1 1,0 3
belt 43 49 1,0 1,0 3
